Functional module	KEGG KO ID	Annotation	Reference
Sulfur metabolism	K07308	dmsC; anaerobic dimethyl sulfoxide reductase subunit C (DMSO reductase anchor subunit)	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K01738	cysK; cysteine synthase A [EC:2.5.1.47]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K17486	dmdA; dimethylsulfoniopropionate demethylase [EC:2.1.1.269]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K16953	dddL; dimethylpropiothetin dethiomethylase [EC:4.4.1.3]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K00387	soxC, E1.8.3.1, SUOX; sulfite oxidase [EC:1.8.3.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K03321	sulP, TC.SULP; sulfate permease, SulP family	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K12339	cysM; cysteine synthase B [EC:2.5.1.47]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K11180	dsrA; sulfite reductase, dissimilatory-type alpha subunit [EC:1.8.99.3]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K11181	dsrB; sulfite reductase, dissimilatory-type beta subunit [EC:1.8.99.3]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
